INFO: [SIM 2] *************** CSIM start ***************
INFO: [SIM 4] CSIM will launch GCC as the compiler.
   Compiling ../../../tb_rect_float.cpp in debug mode
   Compiling ../../../rect_float.cpp in debug mode
   Generating csim.exe
Entrada: -0.568504, Resultado esperado: 0.568504, Resultado obtenido: 0.568504
Entrada: -0.979994, Resultado esperado: 0.979994, Resultado obtenido: 0.979994
Entrada: -0.822053, Resultado esperado: 0.822053, Resultado obtenido: 0.822053
Entrada: -0.996238, Resultado esperado: 0.996238, Resultado obtenido: 0.996238
Entrada: -0.867625, Resultado esperado: 0.867625, Resultado obtenido: 0.867625
Entrada: -0.925217, Resultado esperado: 0.925217, Resultado obtenido: 0.925217
Entrada: -0.515319, Resultado esperado: 0.515319, Resultado obtenido: 0.515319
Entrada: -0.944173, Resultado esperado: 0.944173, Resultado obtenido: 0.944173
Entrada: -0.812522, Resultado esperado: 0.812522, Resultado obtenido: 0.812522
Entrada: -0.850731, Resultado esperado: 0.850731, Resultado obtenido: 0.850731
Entrada: -0.529709, Resultado esperado: 0.529709, Resultado obtenido: 0.529709
Entrada: -0.600219, Resultado esperado: 0.600219, Resultado obtenido: 0.600219
Entrada: -0.735733, Resultado esperado: 0.735733, Resultado obtenido: 0.735733
Entrada: -0.808534, Resultado esperado: 0.808534, Resultado obtenido: 0.808534
Entrada: -0.744623, Resultado esperado: 0.744623, Resultado obtenido: 0.744623
Entrada: -0.814927, Resultado esperado: 0.814927, Resultado obtenido: 0.814927
Entrada: -0.530332, Resultado esperado: 0.530332, Resultado obtenido: 0.530332
Entrada: -0.717982, Resultado esperado: 0.717982, Resultado obtenido: 0.717982
Entrada: -0.686042, Resultado esperado: 0.686042, Resultado obtenido: 0.686042
Entrada: -0.532539, Resultado esperado: 0.532539, Resultado obtenido: 0.532539
Entrada: -0.703019, Resultado esperado: 0.703019, Resultado obtenido: 0.703019
Entrada: -0.638266, Resultado esperado: 0.638266, Resultado obtenido: 0.638266
Entrada: -0.521016, Resultado esperado: 0.521016, Resultado obtenido: 0.521016
Entrada: -0.919563, Resultado esperado: 0.919563, Resultado obtenido: 0.919563
Entrada: -0.540271, Resultado esperado: 0.540271, Resultado obtenido: 0.540271
Entrada: -0.651339, Resultado esperado: 0.651339, Resultado obtenido: 0.651339
Entrada: -0.818728, Resultado esperado: 0.818728, Resultado obtenido: 0.818728
Entrada: -0.582729, Resultado esperado: 0.582729, Resultado obtenido: 0.582729
Entrada: -0.91272, Resultado esperado: 0.91272, Resultado obtenido: 0.91272
Entrada: -0.512061, Resultado esperado: 0.512061, Resultado obtenido: 0.512061
Entrada: -0.738589, Resultado esperado: 0.738589, Resultado obtenido: 0.738589
Entrada: -0.823227, Resultado esperado: 0.823227, Resultado obtenido: 0.823227
Entrada: -0.899251, Resultado esperado: 0.899251, Resultado obtenido: 0.899251
Entrada: -0.792171, Resultado esperado: 0.792171, Resultado obtenido: 0.792171
Entrada: -0.697268, Resultado esperado: 0.697268, Resultado obtenido: 0.697268
Entrada: -0.824755, Resultado esperado: 0.824755, Resultado obtenido: 0.824755
Entrada: -0.787746, Resultado esperado: 0.787746, Resultado obtenido: 0.787746
Entrada: -0.742439, Resultado esperado: 0.742439, Resultado obtenido: 0.742439
Entrada: -0.953263, Resultado esperado: 0.953263, Resultado obtenido: 0.953263
Entrada: -0.87828, Resultado esperado: 0.87828, Resultado obtenido: 0.87828
Entrada: -0.73654, Resultado esperado: 0.73654, Resultado obtenido: 0.73654
Entrada: -0.71991, Resultado esperado: 0.71991, Resultado obtenido: 0.71991
Entrada: -0.782014, Resultado esperado: 0.782014, Resultado obtenido: 0.782014
Entrada: -0.746314, Resultado esperado: 0.746314, Resultado obtenido: 0.746314
Entrada: -0.894041, Resultado esperado: 0.894041, Resultado obtenido: 0.894041
Entrada: -0.950591, Resultado esperado: 0.950591, Resultado obtenido: 0.950591
Entrada: -0.983684, Resultado esperado: 0.983684, Resultado obtenido: 0.983684
Entrada: -0.8469, Resultado esperado: 0.8469, Resultado obtenido: 0.8469
Entrada: -0.60915, Resultado esperado: 0.60915, Resultado obtenido: 0.60915
Entrada: -0.50297, Resultado esperado: 0.50297, Resultado obtenido: 0.50297
Entrada: -0.844219, Resultado esperado: 0.844219, Resultado obtenido: 0.844219
Entrada: -0.785068, Resultado esperado: 0.785068, Resultado obtenido: 0.785068
Entrada: -0.557512, Resultado esperado: 0.557512, Resultado obtenido: 0.557512
Entrada: -0.579347, Resultado esperado: 0.579347, Resultado obtenido: 0.579347
Entrada: -0.685243, Resultado esperado: 0.685243, Resultado obtenido: 0.685243
Entrada: -0.855325, Resultado esperado: 0.855325, Resultado obtenido: 0.855325
Entrada: -0.928121, Resultado esperado: 0.928121, Resultado obtenido: 0.928121
Entrada: -0.575903, Resultado esperado: 0.575903, Resultado obtenido: 0.575903
Entrada: -0.810418, Resultado esperado: 0.810418, Resultado obtenido: 0.810418
Entrada: -0.604949, Resultado esperado: 0.604949, Resultado obtenido: 0.604949
Entrada: -0.752176, Resultado esperado: 0.752176, Resultado obtenido: 0.752176
Entrada: -0.790916, Resultado esperado: 0.790916, Resultado obtenido: 0.790916
Entrada: -0.870275, Resultado esperado: 0.870275, Resultado obtenido: 0.870275
Entrada: -0.69107, Resultado esperado: 0.69107, Resultado obtenido: 0.69107
Entrada: -0.634023, Resultado esperado: 0.634023, Resultado obtenido: 0.634023
Entrada: -0.62136, Resultado esperado: 0.62136, Resultado obtenido: 0.62136
Entrada: -0.890394, Resultado esperado: 0.890394, Resultado obtenido: 0.890394
Entrada: -0.795537, Resultado esperado: 0.795537, Resultado obtenido: 0.795537
Entrada: -0.771942, Resultado esperado: 0.771942, Resultado obtenido: 0.771942
Entrada: -0.738411, Resultado esperado: 0.738411, Resultado obtenido: 0.738411
Entrada: -0.833374, Resultado esperado: 0.833374, Resultado obtenido: 0.833374
Entrada: -0.963246, Resultado esperado: 0.963246, Resultado obtenido: 0.963246
Entrada: -0.877415, Resultado esperado: 0.877415, Resultado obtenido: 0.877415
Entrada: -0.61157, Resultado esperado: 0.61157, Resultado obtenido: 0.61157
Entrada: -0.899308, Resultado esperado: 0.899308, Resultado obtenido: 0.899308
Entrada: -0.891926, Resultado esperado: 0.891926, Resultado obtenido: 0.891926
Entrada: -0.704682, Resultado esperado: 0.704682, Resultado obtenido: 0.704682
Entrada: -0.703763, Resultado esperado: 0.703763, Resultado obtenido: 0.703763
Entrada: -0.724796, Resultado esperado: 0.724796, Resultado obtenido: 0.724796
Entrada: -0.660466, Resultado esperado: 0.660466, Resultado obtenido: 0.660466
Entrada: -0.850518, Resultado esperado: 0.850518, Resultado obtenido: 0.850518
Entrada: -0.502564, Resultado esperado: 0.502564, Resultado obtenido: 0.502564
Entrada: -0.53463, Resultado esperado: 0.53463, Resultado obtenido: 0.53463
Entrada: -0.739632, Resultado esperado: 0.739632, Resultado obtenido: 0.739632
Entrada: -0.917156, Resultado esperado: 0.917156, Resultado obtenido: 0.917156
Entrada: -0.735024, Resultado esperado: 0.735024, Resultado obtenido: 0.735024
Entrada: -0.535252, Resultado esperado: 0.535252, Resultado obtenido: 0.535252
Entrada: -0.722163, Resultado esperado: 0.722163, Resultado obtenido: 0.722163
Entrada: -0.514011, Resultado esperado: 0.514011, Resultado obtenido: 0.514011
Entrada: -0.624493, Resultado esperado: 0.624493, Resultado obtenido: 0.624493
Entrada: -0.762968, Resultado esperado: 0.762968, Resultado obtenido: 0.762968
Entrada: -0.67698, Resultado esperado: 0.67698, Resultado obtenido: 0.67698
Entrada: -0.565744, Resultado esperado: 0.565744, Resultado obtenido: 0.565744
Entrada: -0.502984, Resultado esperado: 0.502984, Resultado obtenido: 0.502984
Entrada: -0.56221, Resultado esperado: 0.56221, Resultado obtenido: 0.56221
Entrada: -0.882127, Resultado esperado: 0.882127, Resultado obtenido: 0.882127
Entrada: -0.689552, Resultado esperado: 0.689552, Resultado obtenido: 0.689552
Entrada: -0.646224, Resultado esperado: 0.646224, Resultado obtenido: 0.646224
Entrada: -0.7924, Resultado esperado: 0.7924, Resultado obtenido: 0.7924
Entrada: -0.668561, Resultado esperado: 0.668561, Resultado obtenido: 0.668561
Entrada: -0.855847, Resultado esperado: 0.855847, Resultado obtenido: 0.855847
Entrada: -0.939921, Resultado esperado: 0.939921, Resultado obtenido: 0.939921
Entrada: -0.744316, Resultado esperado: 0.744316, Resultado obtenido: 0.744316
Entrada: -0.543387, Resultado esperado: 0.543387, Resultado obtenido: 0.543387
Entrada: -0.949551, Resultado esperado: 0.949551, Resultado obtenido: 0.949551
Entrada: -0.827722, Resultado esperado: 0.827722, Resultado obtenido: 0.827722
Entrada: -0.513069, Resultado esperado: 0.513069, Resultado obtenido: 0.513069
Entrada: -0.90913, Resultado esperado: 0.90913, Resultado obtenido: 0.90913
Entrada: -0.642911, Resultado esperado: 0.642911, Resultado obtenido: 0.642911
Entrada: -0.807477, Resultado esperado: 0.807477, Resultado obtenido: 0.807477
Entrada: -0.994944, Resultado esperado: 0.994944, Resultado obtenido: 0.994944
Entrada: -0.553113, Resultado esperado: 0.553113, Resultado obtenido: 0.553113
Entrada: -0.761815, Resultado esperado: 0.761815, Resultado obtenido: 0.761815
Entrada: -0.620409, Resultado esperado: 0.620409, Resultado obtenido: 0.620409
Entrada: -0.59014, Resultado esperado: 0.59014, Resultado obtenido: 0.59014
Entrada: -0.768022, Resultado esperado: 0.768022, Resultado obtenido: 0.768022
Entrada: -0.757368, Resultado esperado: 0.757368, Resultado obtenido: 0.757368
Entrada: -0.758023, Resultado esperado: 0.758023, Resultado obtenido: 0.758023
Entrada: -0.935847, Resultado esperado: 0.935847, Resultado obtenido: 0.935847
Entrada: -0.862759, Resultado esperado: 0.862759, Resultado obtenido: 0.862759
Entrada: -0.63254, Resultado esperado: 0.63254, Resultado obtenido: 0.63254
Entrada: -0.522594, Resultado esperado: 0.522594, Resultado obtenido: 0.522594
Entrada: -0.613109, Resultado esperado: 0.613109, Resultado obtenido: 0.613109
Entrada: -0.91285, Resultado esperado: 0.91285, Resultado obtenido: 0.91285
Entrada: -0.694236, Resultado esperado: 0.694236, Resultado obtenido: 0.694236
Entrada: -0.710564, Resultado esperado: 0.710564, Resultado obtenido: 0.710564
Entrada: -0.673947, Resultado esperado: 0.673947, Resultado obtenido: 0.673947
Entrada: -0.870925, Resultado esperado: 0.870925, Resultado obtenido: 0.870925
Entrada: -0.695696, Resultado esperado: 0.695696, Resultado obtenido: 0.695696
Entrada: -0.916627, Resultado esperado: 0.916627, Resultado obtenido: 0.916627
Entrada: -0.971327, Resultado esperado: 0.971327, Resultado obtenido: 0.971327
Entrada: -0.710152, Resultado esperado: 0.710152, Resultado obtenido: 0.710152
Entrada: -0.996281, Resultado esperado: 0.996281, Resultado obtenido: 0.996281
Entrada: -0.747838, Resultado esperado: 0.747838, Resultado obtenido: 0.747838
Entrada: -0.618997, Resultado esperado: 0.618997, Resultado obtenido: 0.618997
Entrada: -0.862357, Resultado esperado: 0.862357, Resultado obtenido: 0.862357
Entrada: -0.969833, Resultado esperado: 0.969833, Resultado obtenido: 0.969833
Entrada: -0.688297, Resultado esperado: 0.688297, Resultado obtenido: 0.688297
Entrada: -0.785099, Resultado esperado: 0.785099, Resultado obtenido: 0.785099
Entrada: -0.92263, Resultado esperado: 0.92263, Resultado obtenido: 0.92263
Entrada: -0.701749, Resultado esperado: 0.701749, Resultado obtenido: 0.701749
Entrada: -0.521721, Resultado esperado: 0.521721, Resultado obtenido: 0.521721
Entrada: -0.888968, Resultado esperado: 0.888968, Resultado obtenido: 0.888968
Entrada: -0.876379, Resultado esperado: 0.876379, Resultado obtenido: 0.876379
Entrada: -0.539584, Resultado esperado: 0.539584, Resultado obtenido: 0.539584
Entrada: -0.86617, Resultado esperado: 0.86617, Resultado obtenido: 0.86617
Entrada: -0.607405, Resultado esperado: 0.607405, Resultado obtenido: 0.607405
Entrada: -0.989542, Resultado esperado: 0.989542, Resultado obtenido: 0.989542
Entrada: -0.893596, Resultado esperado: 0.893596, Resultado obtenido: 0.893596
Entrada: -0.540466, Resultado esperado: 0.540466, Resultado obtenido: 0.540466
Entrada: -0.841131, Resultado esperado: 0.841131, Resultado obtenido: 0.841131
Entrada: -0.75625, Resultado esperado: 0.75625, Resultado obtenido: 0.75625
Entrada: -0.844449, Resultado esperado: 0.844449, Resultado obtenido: 0.844449
Entrada: -0.989571, Resultado esperado: 0.989571, Resultado obtenido: 0.989571
Entrada: -0.796282, Resultado esperado: 0.796282, Resultado obtenido: 0.796282
Entrada: -0.916952, Resultado esperado: 0.916952, Resultado obtenido: 0.916952
Entrada: -0.876789, Resultado esperado: 0.876789, Resultado obtenido: 0.876789
Entrada: -0.76101, Resultado esperado: 0.76101, Resultado obtenido: 0.76101
Entrada: -0.710885, Resultado esperado: 0.710885, Resultado obtenido: 0.710885
Entrada: -0.629776, Resultado esperado: 0.629776, Resultado obtenido: 0.629776
Entrada: -0.698165, Resultado esperado: 0.698165, Resultado obtenido: 0.698165
Entrada: -0.923075, Resultado esperado: 0.923075, Resultado obtenido: 0.923075
Entrada: -0.716024, Resultado esperado: 0.716024, Resultado obtenido: 0.716024
Entrada: -0.825853, Resultado esperado: 0.825853, Resultado obtenido: 0.825853
Entrada: -0.943737, Resultado esperado: 0.943737, Resultado obtenido: 0.943737
Entrada: -0.546147, Resultado esperado: 0.546147, Resultado obtenido: 0.546147
Entrada: -0.530377, Resultado esperado: 0.530377, Resultado obtenido: 0.530377
Entrada: -0.97933, Resultado esperado: 0.97933, Resultado obtenido: 0.97933
Entrada: -0.625001, Resultado esperado: 0.625001, Resultado obtenido: 0.625001
Entrada: -0.84187, Resultado esperado: 0.84187, Resultado obtenido: 0.84187
Testbench Completado con exito
INFO: [SIM 1] CSim done with 0 errors.
INFO: [SIM 3] *************** CSIM finish ***************
